"","model","0-0.2","0.2-0.4","0.4-0.6","0.6-0.8","0.8-1.0","n"
"1",1,-0.0627940234594992,-0.0623024213188915,-0.0563584569927131,-0.14620407050901,-0.273674527360862,174
"2",2,-0.0627940234625379,-0.0623024213188738,-0.0563584569733682,-0.146204070342412,-0.273674527360862,174
"3",3,-0.137280250671258,-0.307579110125253,-0.429993290638484,1.16664526072664,1.48575397902076,174
"4",4,-0.137649630107846,-0.334007321563265,-0.270992343980124,1.3479251232028,1.60301205065723,174
"5",5,-0.063631398467886,-0.0579546118732297,-0.0350431061863292,-0.136341507005665,-0.294232264043136,174
"6",6,-0.0627908292684617,-0.0579506758679058,-0.0587300995148382,-0.224557377862698,-0.516059320007316,174
"7",1,0.0860389642515567,0.0743306728503476,0.0930148731391483,0.128089965750415,0.18787547237673,174
"8",2,0.0860389643011486,0.074330672850437,0.0930148732617462,0.128089965753653,0.187875472376803,174
"9",3,0.0748033719254398,0.0515691537518654,0.044267230587483,0.0480822002297642,0.0529698939456324,174
"10",4,0.0731118824642388,0.04608633861017,0.0000000110611952501028,0.0000000103349939417948,0.000114588207880577,174
"11",5,0.0843924909235422,0.0749912103847237,0.094022235369346,0.130663355990247,0.188078626539767,174
"12",6,0.0843837609871048,0.0760624950592572,0.0954635770602909,0.142133400515262,0.243717662636081,174
"13",1,-0.0324153562753222,-0.0769447919272782,-0.0722885346642997,-0.0882558906823847,0.00167151159200218,174
"14",2,-0.0324153530551348,-0.0769447919272304,-0.0722885345994299,-0.0882558906823151,0.00167148461996747,174
"15",3,-0.0356524155886196,-0.0562079131020846,-0.066154343571133,-0.0184849485092331,0.0892868501775779,174
"16",4,-0.0332353008344156,-0.160046324293046,-0.444899639043297,-0.669584962383175,-1.09636953364876,174
"17",5,-0.0358264739121333,-0.0765849256240325,-0.0772961828943762,-0.0462227654167977,0.125748997364686,174
"18",6,-0.032109789958392,-0.0738859273867956,-0.0676926028905999,-0.0807623489432078,0.0329383313637919,174
"19",1,0.121677470137086,0.105119445645279,0.131542895095797,0.181146566768143,0.265696041072424,174
"20",2,0.121677470207219,0.105119445645406,0.131542895269176,0.181146566772722,0.265696041072526,174
"21",3,0.105787942140814,0.0729297970170308,0.0626033206285298,0.0679982706075143,0.074910205207414,174
"22",4,0.105607109673189,0.0798305739715409,0.0763813623172582,0.0912084580510702,0.092924028349082,174
"23",5,0.0887559242995861,0.0760756142265154,0.0935742799916936,0.131007114025878,0.185369844279423,174
"24",6,0.0883785702566312,0.076445457480594,0.0964401924255821,0.140950480122145,0.241191449091787,174
